date,description,merchant,amount,category
2026-01-01,RENT PAYMENT,Oak Street Apartments,-1850.00,Rent
2026-01-02,PLANET FITNESS EFT,Planet Fitness,-24.99,Subscriptions
2026-01-03,DIRECT DEPOSIT PAYROLL,Northwind Analytics,1750.00,Income
2026-01-04,CHIPOTLE ONLINE,Chipotle,-14.85,Dining
2026-01-05,NETFLIX.COM,Netflix,-15.49,Subscriptions
2026-01-05,TRADER JOES,Trader Joes,-78.42,Groceries
2026-01-06,STARBUCKS STORE,Starbucks,-4.95,Coffee
2026-01-07,SHELL OIL,Shell,-48.75,Transportation
2026-01-08,SPOTIFY USA,Spotify,-10.99,Subscriptions
2026-01-08,AMAZON MARKETPLACE,Amazon,-34.99,Shopping
2026-01-09,STARBUCKS STORE,Starbucks,-5.75,Coffee
2026-01-10,AMC THEATRES,AMC Theatres,-28.50,Entertainment
2026-01-11,DOORDASH*THAI KITCHEN,DoorDash,-32.40,Dining
2026-01-12,PG&E ELECTRIC,PG&E,-98.50,Utilities
2026-01-12,SAFEWAY GROCERY,Safeway,-92.15,Groceries
2026-01-13,STARBUCKS STORE,Starbucks,-6.25,Coffee
2026-01-14,UBER TRIP,Uber,-18.40,Transportation
2026-01-14,CVS PHARMACY,CVS Pharmacy,-24.50,Health
2026-01-15,TARGET STORE,Target,-67.42,Shopping
2026-01-16,STARBUCKS STORE,Starbucks,-5.50,Coffee
2026-01-17,DIRECT DEPOSIT PAYROLL,Northwind Analytics,1750.00,Income
2026-01-17,SUPERCUTS,Supercuts,-28.00,Personal Care
2026-01-18,UBER EATS,Uber Eats,-28.75,Dining
2026-01-19,TRADER JOES,Trader Joes,-65.30,Groceries
2026-01-20,STARBUCKS STORE,Starbucks,-4.85,Coffee
2026-01-21,BART CLIPPER,BART,-12.00,Transportation
2026-01-22,AMAZON MARKETPLACE,Amazon,-89.50,Shopping
2026-01-23,STARBUCKS STORE,Starbucks,-5.25,Coffee
2026-01-24,STEAM PURCHASE,Steam,-19.99,Entertainment
2026-01-25,PANERA BREAD,Panera Bread,-16.20,Dining
2026-01-26,COSTCO WHOLESALE,Costco,-124.88,Groceries
2026-01-27,STARBUCKS STORE,Starbucks,-6.10,Coffee
2026-01-28,SHELL OIL,Shell,-52.10,Transportation
2026-01-31,DIRECT DEPOSIT PAYROLL,Northwind Analytics,1750.00,Income
2026-02-01,RENT PAYMENT,Oak Street Apartments,-1850.00,Rent
2026-02-02,PLANET FITNESS EFT,Planet Fitness,-24.99,Subscriptions
2026-02-02,TRADER JOES,Trader Joes,-71.55,Groceries
2026-02-03,STARBUCKS STORE,Starbucks,-5.75,Coffee
2026-02-03,DR SMITH COPAY,Bay Area Medical,-35.00,Health
2026-02-04,UBER TRIP,Uber,-22.35,Transportation
2026-02-05,NETFLIX.COM,Netflix,-15.49,Subscriptions
2026-02-05,TARGET STORE,Target,-42.18,Shopping
2026-02-06,CHIPOTLE ONLINE,Chipotle,-15.10,Dining
2026-02-07,STARBUCKS STORE,Starbucks,-4.95,Coffee
2026-02-08,SPOTIFY USA,Spotify,-10.99,Subscriptions
2026-02-08,CONCERT TICKETS,Ticketmaster,-85.00,Entertainment
2026-02-09,SAFEWAY GROCERY,Safeway,-88.40,Groceries
2026-02-11,STARBUCKS STORE,Starbucks,-6.50,Coffee
2026-02-11,SHELL OIL,Shell,-46.80,Transportation
2026-02-12,PG&E ELECTRIC,PG&E,-102.30,Utilities
2026-02-12,AMAZON MARKETPLACE,Amazon,-56.75,Shopping
2026-02-13,DOORDASH*BURGER JOINT,DoorDash,-35.60,Dining
2026-02-14,DIRECT DEPOSIT PAYROLL,Northwind Analytics,1750.00,Income
2026-02-14,STARBUCKS STORE,Starbucks,-5.25,Coffee
2026-02-15,SEPHORA,Sephora,-42.50,Personal Care
2026-02-16,TRADER JOES,Trader Joes,-69.20,Groceries
2026-02-17,CVS PHARMACY,CVS Pharmacy,-18.75,Health
2026-02-18,STARBUCKS STORE,Starbucks,-5.80,Coffee
2026-02-18,BART CLIPPER,BART,-12.00,Transportation
2026-02-19,IKEA USA,IKEA,-128.40,Shopping
2026-02-20,LOCAL BISTRO,Local Bistro,-42.50,Dining
2026-02-21,AMC THEATRES,AMC Theatres,-32.00,Entertainment
2026-02-22,STARBUCKS STORE,Starbucks,-4.75,Coffee
2026-02-23,COSTCO WHOLESALE,Costco,-118.60,Groceries
2026-02-25,STARBUCKS STORE,Starbucks,-6.00,Coffee
2026-02-25,LYFT RIDE,Lyft,-19.60,Transportation
2026-02-27,UBER EATS,Uber Eats,-26.90,Dining
2026-02-28,DIRECT DEPOSIT PAYROLL,Northwind Analytics,1750.00,Income
2026-03-01,RENT PAYMENT,Oak Street Apartments,-1850.00,Rent
2026-03-01,SHELL OIL,Shell,-49.90,Transportation
2026-03-02,PLANET FITNESS EFT,Planet Fitness,-24.99,Subscriptions
2026-03-02,TRADER JOES,Trader Joes,-74.10,Groceries
2026-03-03,CHIPOTLE ONLINE,Chipotle,-14.25,Dining
2026-03-04,STARBUCKS STORE,Starbucks,-5.50,Coffee
2026-03-05,NETFLIX.COM,Netflix,-15.49,Subscriptions
2026-03-05,STEAM PURCHASE,Steam,-14.99,Entertainment
2026-03-06,AMAZON MARKETPLACE,Amazon,-45.20,Shopping
2026-03-07,UBER TRIP,Uber,-16.75,Transportation
2026-03-08,SPOTIFY USA,Spotify,-10.99,Subscriptions
2026-03-08,STARBUCKS STORE,Starbucks,-5.25,Coffee
2026-03-09,SAFEWAY GROCERY,Safeway,-95.25,Groceries
2026-03-10,DOORDASH*SUSHI BAR,DoorDash,-38.20,Dining
2026-03-11,DR SMITH COPAY,Bay Area Medical,-35.00,Health
2026-03-12,PG&E ELECTRIC,PG&E,-95.80,Utilities
2026-03-12,STARBUCKS STORE,Starbucks,-6.25,Coffee
2026-03-13,TARGET STORE,Target,-58.90,Shopping
2026-03-14,DIRECT DEPOSIT PAYROLL,Northwind Analytics,1750.00,Income
2026-03-14,BART CLIPPER,BART,-12.00,Transportation
2026-03-15,SUPERCUTS,Supercuts,-28.00,Personal Care
2026-03-16,TRADER JOES,Trader Joes,-68.90,Groceries
2026-03-17,STARBUCKS STORE,Starbucks,-4.95,Coffee
2026-03-18,PANERA BREAD,Panera Bread,-17.45,Dining
2026-03-19,AMC THEATRES,AMC Theatres,-26.50,Entertainment
2026-03-20,AMAZON MARKETPLACE,Amazon,-72.35,Shopping
2026-03-21,STARBUCKS STORE,Starbucks,-5.75,Coffee
2026-03-22,SHELL OIL,Shell,-51.25,Transportation
2026-03-23,COSTCO WHOLESALE,Costco,-131.40,Groceries
2026-03-25,STARBUCKS STORE,Starbucks,-5.50,Coffee
2026-03-26,LOCAL BISTRO,Local Bistro,-39.80,Dining
2026-03-27,IKEA USA,IKEA,-95.60,Shopping
